Airport Code,Airport Name,CityName,Airport Country
FZEA,MBANDAKA,MBANDAKA,"CONGO,DR"
FZEN,BASANKUSU,BASANKUSU,"CONGO,DR"
FZFD,GBADOLITE,GBADOLITE,"CONGO,DR"
FZFK,GEMENA,GEMENA,"CONGO,DR"
FZFU,BUMBA,BUMBA,"CONGO,DR"
FZGA,LISALA,LISALA,"CONGO,DR"
FZGN,BOENDE,BOENDE,"CONGO,DR"
FZIC,BANGOKA INTL,KISANGANI,"CONGO,DR"
FZJH,ISIRO-MATARI,ISIRO-MATARI,"CONGO,DR"
FZKA,BUNIA,BUNIA,"CONGO,DR"
FZMA,KAVUMU,BUKAVU,"CONGO,DR"
FZNA,GOMA INTL,GOMA,"CONGO,DR"
FZOA,KINDU,KINDU,"CONGO,DR"
FZQA,LUANO (LUBUMBASHI),LUBUMBASHI,"CONGO,DR"
FZRF,KALEMIE,KALEMIE,"CONGO,DR"
FZUA,KANANGA,KANANGA,"CONGO,DR"
FZUK,TSHIKAPA,TSHIKAPA,"CONGO,DR"
FZVA,LODJA,LODJA,"CONGO,DR"
FZWA,MBUJI-MAYI,MBUJI-MAYI,"CONGO,DR"
GABS,senou (bamako),bamako,MALI
GAGM,GOUNDAM,GOUNDAM,MALI
GAGO,GAO,,MALI
GAKY,KAYES,KAYES,MALI
GAM,GAMBELL,GAMBELL,UNITED STATES
GAMB,MOPTI,,MALI
GANR,NIORO,NIORO,MALI
GATB,TOMBOUCTOU,TOMBOUCTOU,MALI
GAYE,YELIMANE,YELIMANE,MALI
GBYD,BANJUL,,GAMBIA
GCFV,FUERTEVENTURA,,SPAIN
GCHI,HIERRO,HIERRO,SPAIN
GCLA,LA PALMA,,SPAIN
GCLP,GRAN CANARIA,,SPAIN
GCRR,LANZAROTE,,SPAIN
GCTS,TENERIFE SOUTH,,SPAIN
GCXO,TENERIFE NORTH,,SPAIN
GEML,MELILLA,MELILLA,SPAIN
GFLL,LUNGI,FREETOWN,SIERRA LEONE
GGOV,OSVALDO VIEIRA,BISSAU,GUINEA-BISSAU
GLMR,SPRIGGS PAYNE,MONROVIA,LIBERIA
GLRB,Monrovia Roberts Intl,Monrovia,LIBERIA
GMAA,AGADIR/INEZGANE,,MOZAMBIQUE
GMAD,AL MASSIRA,agadir,MOROCCO
GMAT,TAN TAN,,MOROCCO
GMFF,FES(SAISS),FES,MOROCCO
GMFK,ERRACHIDIA,,MOROCCO
GMFO,OUJDAS,Angads,MOROCCO
GMMA,SMARA,SMARA,MOROCCO
GMMC,ANFA,CASABLANCA,MOROCCO
GMME,sale,rabat,MOROCCO
GMMH,DAKHLA,DAKHLA,MOROCCO
GMMI,,,MOROCCO
GMML,HASSAN I,LAAYOUNE,MOROCCO
GMMN,MOHAMED V,CASABLANCA,MOROCCO
GMMW,Nador / El Aroui,Nador,MOROCCO
GMMX,MENARA AIRPORT (MARRAKECH),MARRAKECH,MOROCCO
GMMZ,OUARZAZATE,,MOROCCO
GMTA,AL HOCEIMA,,MOROCCO
GMTN,TETUAN/SANIA RAMEL,,MOROCCO
GMTT,TANGER,IBN BATOUTA,MOROCCO
GNA,GARAINA,GARAINA,PAPUA NEW GUINEA
GOBD,Blaise Diagne (Dakar),Dakar-Diass,SENEGAL
GOGG,ZIGUINCHOR,ZIGUINCHOR,SENEGAL
GOGS,CAP SKIRING,CAP SKIRING,SENEGAL
GOOY,YOFF,DAKAR,COTE D'IVOIRE
GOTT,TAMBACOUNDA,,SENEGAL
GQNA,AIOUN-EL-ATROUSS,AIOUN-EL-ATROUSS,MAURITANIA
GQNB,BOUTILIMIT,,MAURITANIA
GQNC,TICHIT,,MAURITANIA
GQND,TIDJIKJA,TIDJIKJA,MAURITANIA
GQNF,KIFFA,,MAURITANIA
GQNI,NEMA,,MAURITANIA
GQNK,KAEDI,,MAURITANIA
GQNN,NOUAKCHOTT,nouakchott,MAURITANIA
GQNS,SELIBABI,SELIBABI,MAURITANIA
GQPA,ATAR,,MAURITANIA
GQPP,NOUADHIBOU,,MAURITANIA
GQPZ,ZOUERATT/TAZADIT,,MAURITANIA
GRN,GREEN RIVER,GREEN RIVER,PAPUA NEW GUINEA
GST,GUSTAVUS,GUSTAVUS,UNITED STATES
GUA,GIRUA,GIRUA,PAPUA NEW GUINEA
GUCY,GBESSIA,CONAKRY,GUINEA
GUFH,FARANAH,,GUINEA
GULB,LABE,,GUINEA
GUXN,KANKAN,,GUINEA
GVAC,SAL AMILCAR CABRAL,SAL,CAPE VERDE
GVBA,RABIL,RABIL,CAPE VERDE
GVFM,FRANCISCO MENDES,FRANCISCO MENDES,CAPE VERDE
GVMA,MAIO,MAIO,CAPE VERDE
GVSN,SAO NICOLAU,SAO NICOLAU,CAPE VERDE
GVSV,SAN VICENTE,SAN VICENTE,CAPE VERDE
HAAB,BOLE INTERNATIONAL,ADISS ABABA,ETHIOPIA
HAAM,ARBAMINCH,ARBAMINCH,ETHIOPIA
HAAX,AXUM,AXUM,ETHIOPIA
HABC,JINKA,JINKA,ETHIOPIA
HABD,BAHAR DAR,,ETHIOPIA
HABE,BEICA,BEICA,ETHIOPIA
HADC,COMBOLCHA,DESSIE,ETHIOPIA
HADD,DEMBIDOLLO,DEMBIDOLLO,ETHIOPIA
HADK,KEBRI DEHAR,KEBRI DEHAR,ETHIOPIA
HADM,DEBRE MARCOS,DEBRE MARCOS,ETHIOPIA
HADR,A.T.D. YILMA INTL,DIRE DAWA,ETHIOPIA
HADT,DEBRE TABOR,DEBRE TABOR,ETHIOPIA
HAGB,GOBA,GOBA,ETHIOPIA
HAGM,GAMBELLA,GAMBELLA,ETHIOPIA
HAGN,GONDAR,GONDAR,ETHIOPIA
HAGR,GORE,GORE,ETHIOPIA
HAHU,HUMERA,HUMERA,ETHIOPIA
HAJM,ABA SEGUD,JIMMA,ETHIOPIA
HALL,LALIBELLA,LALIBELLA,ETHIOPIA
HAMK,MAKALE(ALULA ABA NEGA),,ETHIOPIA
HAMN,MENDI,MENDI,ETHIOPIA
HASO,ASOSA,ASOSA,ETHIOPIA
HATP,TIPPI,TIPPI,ETHIOPIA
HBBA,BUJUMBURA INTL,BUJUMBURA,BURUNDI
HCMF,BOSASO,BOSASO,SOMALIA
HCMH,HARGEISA,HARGEISA,SOMALIA
HCMI,BERBERA,,SOMALIA
HCMM,MOGADISHU,MOGADISHU,SOMALIA
HCMS,SCUSCIUBAN,,SOMALIA
HCMU,ERIGAVO,ERIGAVO,SOMALIA
HCMV,BURAO,BURAO,SOMALIA
HDAM,DJIBOUTI,,DJIBOUTI
HEAL,Al Alamein,Al Alamein Intl.,EGYPT
HEAR,EL ARISH,,EGYPT
HEAT,ASYUT,,EGYPT
HEAX,ALEXANDRIA,,EGYPT
HEBA,Alexandria ( Borg El Arab Intl),Borg El Arab Intl,EGYPT
HEBL,ABU SIMBEL,,EGYPT
HECA,CAIRO,CAIRO,EGYPT
HEGN,HURGHADA,HURGHADA,EGYPT
HELX,LUXOR,,EGYPT
HEMA,Marsa Alam International,,EGYPT
HEMM,MERSA MATRUH,,EGYPT
HENV,EL KHARGA / NEW VALLEY,,EGYPT
HEPS,PORT SAID,,EGYPT
HESC,ST.CATHERINE,,EGYPT
HESH,SHARM EL SHEIKH,,EGYPT
HESN,ASWAN,ASWAN,EGYPT
HESX,SPHINX INTL,GIZA,EGYPT
HETB,TABA,,EGYPT
HETB,TABA,TABA,EGYPT
HETR,EL TOR,,EGYPT
HHAS,ASMARA,,ERITREA
HHSB,ASSAB,,ERITREA
HI01,PRINCEVILLE,HANALEI,UNITED STATES
HKAM,AMBOSELI,AMBOSELI,KENYA
HKKI,KISUMU,KISUMU,KENYA
HKLU,LAMU/MANDA,LAMU/MANDA,KENYA
HKMA,MANDERA,MANDERA,KENYA
HKML,MALINDI,MALINDI,KENYA
HKMO,MOMBASA MOI,MOMBASA,KENYA
HKN,HOSKINS,HOSKINS,PAPUA NEW GUINEA
HKNA,NAIROBI J. KENYATTA,NAIROBI,KENYA
HKNW,WILSON,NAIROBI,KENYA
HKNY,NANYUKI,NANYUKI,KENYA
HKSB,BUFFALO SPRING,SAMBURU SOUTH,KENYA
HLGT,GHAT,,LIBYAN ARAB JAMAHIRIYA
HLKF,KUFRA,,LIBYAN ARAB JAMAHIRIYA
HLLB,BENGHAZI,BENGHAZI,LIBYAN ARAB JAMAHIRIYA
HLLM,Mitiga,Tripoli,LIBYAN ARAB JAMAHIRIYA
HLLQ,EL BEIDA Labraq,EL BEIDA,LIBYAN ARAB JAMAHIRIYA
HLLS,SEBHA,,LIBYAN ARAB JAMAHIRIYA
HLLT,TRIPOLI,TRIPOLI,LIBYAN ARAB JAMAHIRIYA
HLMS,Misurata,Misurata,LIBYAN ARAB JAMAHIRIYA
HLTD,GHADAMES,,LIBYAN ARAB JAMAHIRIYA
HNH,HOONAH,HOONAH,UNITED STATES
HNS,HAINES,HAINES,UNITED STATES
HPB,HOOPER BAY,HOOPER BAY,UNITED STATES
HRYR,GREGOIRE KAYIBANDA,KIGALI,RWANDA
HRZA,KAMEMBE,KAMEMBE,RWANDA
HSAT,ATBARA,,SUDAN
HSDB,ED DEBBA,,SUDAN
HSDN,DONGOLA,,SUDAN
HSDZ,DAMAZIN,,UNITED KINGDOM
HSFS,EL FASHER,,SUDAN
HSGN,GENEINA,,SUDAN
HSKA,KASSALA,,SUDAN
HSL,HUSLIA,HUSLIA,UNITED STATES
HSMR,MEROWE,,SUDAN
HSNL,NYALA,,SUDAN
HSOB,EL OBEID,,SUDAN
HSSP,PORT SUDAN,,SUDAN
HSSS,KHARTOUM,,SUDAN
HSSW,WADI HALFA,,SUDAN
HTDV,DAR ESSALAM INTERNATIONAL,DAR ESSALAM,TANZANIA
HTKA,KIGOMA,KIGOMA,TANZANIA
HTKJ,KILIMANJARO INTL,KILIMANJARO,TANZANIA
HTLI,LINDI,LINDI,TANZANIA
HTMD,MWADUI,MWADUI,TANZANIA
HTMT,MTWARA,MTWARA,TANZANIA
HTMU,MUSOMA,MUSOMA,TANZANIA
HTMW,MWANZA,MWANZA,TANZANIA
HTPE,PEMBA,PEMBA,TANZANIA
HTTB,TABORA,TABORA,TANZANIA
HTZA,KISAUNI,ZANZIBAR,TANZANIA
HUEN,ENTEBBE INTL,ENTEBBE,UGANDA
HUS,HUGHES,HUGHES,UNITED STATES
IAN,BAKER MEML,KIANA,UNITED STATES
IWK,WALES,WALES,UNITED STATES
JCB,JACQUINOT BAY,JACQUINOT BAY,PAPUA NEW GUINEA
JHM,KAPALUA-WEST,LAHAINA,UNITED STATES
K03,CIRCLE CITY/NEW,CIRCLE,UNITED STATES
K09,NEW SHISHMAREF,SHISHMAREF,UNITED STATES
K23,KAKE,KAKE,UNITED STATES
KABE,LEHIGH VALLEY INTL,ALLENTOWN,UNITED STATES
KABI,ABILENE REGL,ABILENE,UNITED STATES
KABQ,ALBUQUERQUE INTL,ALBUQUERQUE,UNITED STATES
KABR,ABERDEEN REGL,ABERDEEN,UNITED STATES
KABY,SOUTHWEST GEORGIA REGL,ALBANY,UNITED STATES
KACK,NANTUCKET MEML,NANTUCKET,UNITED STATES
KACT,WACO REGL,WACO,UNITED STATES
KACV,ARCATA,ARCATA-EUREKA,UNITED STATES
KACY,ATLANTIC CITY INTL,ATLANTIC CITY,UNITED STATES
KAEX,ALEXANDRIA INTL,ALEXANDRIA,UNITED STATES
KAGS,BUSH,AUGUSTA,UNITED STATES
KAHN,ATHENS/EPPS,ATHENS,UNITED STATES
KAIA,ALLIANCE MUN,ALLIANCE,UNITED STATES
KAL,KALTAG,KALTAG,UNITED STATES
KALB,ALBANY CO,ALBANY,UNITED STATES
KALM,ALAMOGORDO-WHITE SANDS REGL,ALAMOGORDO,UNITED STATES
KALO,WATERLOO MUN,WATERLOO,UNITED STATES
KALS,SAN LUIS VALLEY REGL/BERGMAN,ALAMOSA,UNITED STATES
KALW,WALLA WALLA REGL,WALLA WALLA,UNITED STATES
KAMA,AMARILLO INTL,AMARILLO,UNITED STATES
KAOO,ALTOONA-BLAIR CO,ALTOONA,UNITED STATES
KAPF,NAPLES MUN,NAPLES,UNITED STATES
KAPN,ALPENA CO REGL,ALPENA,UNITED STATES
KART,WATERTOWN INTL,WATERTOWN,UNITED STATES
KASE,ASPEN-PITKIN CO/SARDY,ASPEN,UNITED STATES
KAST,ASTORIA REGL,ASTORIA,UNITED STATES
KATL,Hartsfield International,Atlanta,UNITED STATES
KATW,OUTAGAMIE CO,APPLETON,UNITED STATES
KATY,WATERTOWN MUN,WATERTOWN,UNITED STATES
KAUG,AUGUSTA STATE,AUGUSTA,UNITED STATES
KAUS,MUELLER MUN,AUSTIN,UNITED STATES
KAUW,WAUSAU DOWNTOWN,WAUSAU,UNITED STATES
KAV,KAVIENG,KAVIENG,PAPUA NEW GUINEA
KAVL,ASHEVILLE REGL,ASHEVILLE,UNITED STATES
KAVP,WILKES-BARRE-SCRANTON INTL,WILKES-BARRE,UNITED STATES
KAZO,KALAMAZOO/BATTLE CREEK INTL,KALAMAZOO,UNITED STATES
KBDL,BRADLEY INTL,WINDSOR LOCKS,UNITED STATES
KBDR,SIKORSKY MEML,BRIDGEPORT,UNITED STATES
KBEH,SOUTHWEST MICHIGAN REGL,BENTON HARBOR,UNITED STATES
KBFD,BRADFORD REGL,BRADFORD,UNITED STATES
KBFF,HEILIG,SCOTTSBLUFF,UNITED STATES
KBFI,BOEING FIELD/KING CO INTL,SEATTLE,UNITED STATES
KBFL,MEADOWS,BAKERSFIELD,UNITED STATES
KBGM,BINGHAMTON REGL/LINK,BINGHAMTON,UNITED STATES
KBGR,BANGOR INTL,BANGOR,UNITED STATES
KBHB,HANCOCK CO-BAR HARBOR,BAR HARBOR,UNITED STATES
KBHM,BIRMINGHAM INTL,BIRMINGHAM,UNITED STATES
KBIL,BILLINGS LOGAN INTL,BILLINGS,UNITED STATES
KBIS,BISMARCK MUN,BISMARCK,UNITED STATES
KBJI,BEMIDJI-BELTRAMI CO,BEMIDJI,UNITED STATES
KBKW,RALEIGH CO MEML,BECKLEY,UNITED STATES
KBKX,BROOKINGS MUN,BROOKINGS,UNITED STATES
KBLF,MERCER CO,BLUEFIELD,UNITED STATES
KBLI,BELLINGHAM INTL,BELLINGHAM,UNITED STATES
KBMI,BLOOMINGTON-NORMAL,BLOOMINGTON-NORMAL,UNITED STATES
KBNA,NASHVILLE INTL,NASHVILLE,UNITED STATES
KBOI,BOISE AIR TERM,BOISE,UNITED STATES
KBOS,LOGAN INTL,BOSTON,UNITED STATES
KBPK,BAXTER CO REGL,MOUNTAIN HOME,UNITED STATES
KBPT,JEFFERSON CO,BEAUMONT/PORT ARTHUR,UNITED STATES
KBQK,GLYNCO JETPORT,BRUNSWICK,UNITED STATES
KBRD,BRAINERD-CROW WING CO REGL,BRAINERD,UNITED STATES
KBRL,BURLINGTON REGL,BURLINGTON,UNITED STATES
KBRO,BROWNSVILLE/SOUTH PADRE I INTL,BROWNSVILLE,UNITED STATES
KBTM,MOONEY,BUTTE,UNITED STATES
KBTR,BATON ROUGE METRO-RYAN,BATON ROUGE,UNITED STATES
KBTV,BURLINGTON INTL,BURLINGTON,UNITED STATES
KBUF,GREATER BUFFALO INTL,BUFFALO,UNITED STATES
KBUR,BURBANK-GLENDALE-PASADENA,BURBANK,UNITED STATES
KBWD,BROWNWOOD REGL,BROWNWOOD,UNITED STATES
KBWI,BALTIMORE-WASHINGTON INTL,BALTIMORE,UNITED STATES
KBZN,GALLATIN,BOZEMAN,UNITED STATES
KCAE,COLUMBIA METRO,COLUMBIA,UNITED STATES
KCAK,AKRON-CANTON REGL,AKRON,UNITED STATES
KCBE,GREATER CUMBERLAND REGL,CUMBERLAND,UNITED STATES
KCDC,CEDAR CITY MUN,CEDAR CITY,UNITED STATES
KCDR,CHADRON MUN,CHADRON,UNITED STATES
KCEC,MC NAMARA,CRESCENT CITY,UNITED STATES
KCEZ,CORTEZ-MONTEZUMA CO,CORTEZ,UNITED STATES
KCGI,CAPE GIRARDEAU REGL,CAPE GIRARDEAU,UNITED STATES
KCGX,MEIGS,CHICAGO,UNITED STATES
KCHA,LOVELL,CHATTANOOGA,UNITED STATES
KCHO,CHARLOTTESVILLE-ALBEMARLE,CHARLOTTESVILLE,UNITED STATES
KCHS,CHARLESTON AFB/INTL,CHARLESTON,UNITED STATES
KCIC,CHICO MUN,CHICO,UNITED STATES
KCID,CEDAR RAPIDS MUN,CEDAR RAPIDS,UNITED STATES
KCIU,CHIPPEWA CO INTL,SAULT STE MARIE,UNITED STATES
KCKB,BENEDUM,CLARKSBURG,UNITED STATES
KCLE,CLEVELAND-HOPKINS INTL,CLEVELAND,UNITED STATES
KCLL,EASTERWOOD,COLLEGE STATION,UNITED STATES
KCLM,FAIRCHILD INTL,PORT ANGELES,UNITED STATES
KCLT,CHARLOTTE/DOUGLAS INTL,CHARLOTTE,UNITED STATES
KCMH,PORT COLUMBUS INTL,COLUMBUS,UNITED STATES
KCMI,UNIV OF ILLINOIS-WILLARD,CHAMPAIGN,UNITED STATES
KCMX,HOUGHTON CO MEML,HANCOCK,UNITED STATES
KCNM,CAVERN CITY,CARLSBAD,UNITED STATES
KCNY,CANYONLANDS,MOAB,UNITED STATES
KCOD,YELLOWSTONE REGL,CODY,UNITED STATES
KCOS,CITY OF COLORADO SPRINGS MUN,COLORADO SPRINGS,UNITED STATES
KCOU,COLUMBIA REGL,COLUMBIA,UNITED STATES
KCPR,NATRONA CO INTL,CASPER,UNITED STATES
KCRP,CORPUS CHRISTI INTL,CORPUS CHRISTI,UNITED STATES
KCRQ,MC CLELLAN-PALOMAR,CARLSBAD,UNITED STATES
KCRW,YEAGER,CHARLESTON,UNITED STATES
KCSG,COLUMBUS METRO,COLUMBUS,UNITED STATES
KCVG,CINCINNATI/NORTHERN KY INTL,CINCINNATI,UNITED STATES
KCVN,CLOVIS MUN,CLOVIS,UNITED STATES
KCVO,CORVALLIS MUN,CORVALLIS,UNITED STATES
KCWA,CENTRAL WISCONSIN,MOSINEE,UNITED STATES
KCYS,CHEYENNE,CHEYENNE,UNITED STATES
KDAB,DAYTONA BEACH INTL,DAYTONA BEACH,UNITED STATES
KDAL,DALLAS LOVE,DALLAS,UNITED STATES
KDAY,COX-DAYTON INTL,DAYTON,UNITED STATES
KDBQ,DUBUQUE REGL,DUBUQUE,UNITED STATES
KDCA,WASHINGTON NATIONAL,WASHINGTON,UNITED STATES
KDDC,DODGE CITY REGL,DODGE CITY,UNITED STATES
KDEC,DECATUR,DECATUR,UNITED STATES
KDEN,Denver,Denver,UNITED STATES
KDET,DETROIT CITY,DETROIT,UNITED STATES
KDFW,DFW,Dallas / Fort Worth,UNITED STATES
KDHN,DOTHAN,DOTHAN,UNITED STATES
KDIK,DICKINSON MUN,DICKINSON,UNITED STATES
KDLH,DULUTH INTL,DULUTH,UNITED STATES
KDRO,DURANGO-LA PLATA CO,DURANGO,UNITED STATES
KDRT,DEL RIO INTL,DEL RIO,UNITED STATES
KDSM,DES MOINES INTL,DES MOINES,UNITED STATES
KDTW,DETROIT METRO WAYNE CO,DETROIT,UNITED STATES
KDUJ,DU BOIS-JEFFERSON CO,DU BOIS,UNITED STATES
KDVL,DEVILS LAKE MUN,DEVILS LAKE,UNITED STATES
KEAR,KEARNEY MUN,KEARNEY,UNITED STATES
KEAT,PANGBORN MEML,WENATCHEE,UNITED STATES
KEAU,CHIPPEWA VALLEY REGL,EAU CLAIRE,UNITED STATES
KEEN,DILLANT-HOPKINS,KEENE,UNITED STATES
KEFD,ELLINGTON,HOUSTON,UNITED STATES
KEGE,EAGLE CO REGL,EAGLE,UNITED STATES
KEKO,ELKO MUN-HARRIS,ELKO,UNITED STATES
KELD,SOUTH ARKANSAS REGL AT GOODWIN,EL DORADO,UNITED STATES
KELM,ELMIRA/CORNING REGL,ELMIRA,UNITED STATES
KELP,EL PASO INTL,EL PASO,UNITED STATES
KELY,ELY,ELY,UNITED STATES
KERI,ERIE INTL,ERIE,UNITED STATES
KESC,DELTA CO,ESCANABA,UNITED STATES
KEUG,MAHLON SWEET,EUGENE,UNITED STATES
KEVV,EVANSVILLE REGL,EVANSVILLE,UNITED STATES
KEWB,NEW BEDFORD REGL,NEW BEDFORD,UNITED STATES
KEWN,CRAVEN CO REGL,NEW BERN,UNITED STATES
KEWR,NEWARK INTL,NEWARK,UNITED STATES
KEYW,KEY WEST INTL,KEY WEST,UNITED STATES
KFAR,HECTOR INTL,FARGO,UNITED STATES
KFAT,FRESNO,FRESNO,UNITED STATES
KFAY,FAYETTEVILLE REGL/GRANNIS,FAYETTEVILLE,UNITED STATES
KFCA,GLACIER PARK INTL,KALISPELL,UNITED STATES
KFHR,FRIDAY HARBOR,FRIDAY HARBOR,UNITED STATES
KFHU,LIBBY AAF-SIERRA VISTA MUN,FT HUACHUCA,UNITED STATES
KFKL,VENANGO REGL,FRANKLIN,UNITED STATES
KFLG,FLAGSTAFF PULLIAM,FLAGSTAFF,UNITED STATES
KFLL,FT LAUDERDALE-HOLLYWOOD INTL,FT LAUDERDALE,UNITED STATES
KFLO,FLORENCE REGL,FLORENCE,UNITED STATES
KFMN,FOUR CORNERS REGL,FARMINGTON,UNITED STATES
KFMY,PAGE,FT MYERS,UNITED STATES
KFNL,FT COLLINS-LOVELAND MUN,FT COLLINS-LOVELAND,UNITED STATES
KFNT,BISHOP INTL,FLINT,UNITED STATES
KFOD,FT DODGE REGL,FT DODGE,UNITED STATES
KFOE,FORBES,TOPEKA,UNITED STATES
KFRG,REPUBLIC,FARMINGDALE,UNITED STATES
KFRM,FAIRMONT MUN,FAIRMONT,UNITED STATES
KFSD,FOSS,SIOUX FALLS,UNITED STATES
KFSM,FT SMITH REGL,FT SMITH,UNITED STATES
KFTW,FT WORTH MEACHAM,FT WORTH,UNITED STATES
KFVE,NORTHERN AROOSTOOK REGL,FRENCHVILLE,UNITED STATES
KFWA,FT WAYNE INTL,FT WAYNE,UNITED STATES
KFYV,DRAKE,FAYETTEVILLE,UNITED STATES
KGBD,GREAT BEND MUN,GREAT BEND,UNITED STATES
KGCC,GILLETTE-CAMPBELL CO,GILLETTE,UNITED STATES
KGCK,GARDEN CITY REGL,GARDEN CITY,UNITED STATES
KGCN,GRAND CANYON NATL PARK,GRAND CANYON,UNITED STATES
KGDV,DAWSON COMMUNITY,GLENDIVE,UNITED STATES
KGEG,SPOKANE INTL,SPOKANE,UNITED STATES
KGFK,GRAND FORKS INTL,GRAND FORKS,UNITED STATES
KGGG,GREGG CO,LONGVIEW,UNITED STATES
KGGW,GLASGOW INTL,GLASGOW,UNITED STATES
KGJT,WALKER,GRAND JUNCTION,UNITED STATES
KGLD,RENNER,GOODLAND,UNITED STATES
KGLH,GREENVILLE MUN,GREENVILLE,UNITED STATES
KGNV,GAINESVILLE REGL,GAINESVILLE,UNITED STATES
KGON,GROTON-NEW LONDON,GROTON/NEW LONDON,UNITED STATES
KGPT,GULFPORT-BILOXI REGL,GULFPORT,UNITED STATES
KGPZ,GRAND RAPIDS/ITASCA CO-NEWSTR*,GRAND RAPIDS,UNITED STATES
KGRB,AUSTIN STRAUBEL INTL,GREEN BAY,UNITED STATES
KGRI,CENTRAL NEBRASKA REGL,GRAND ISLAND,UNITED STATES
KGRR,KENT CO INTL,GRAND RAPIDS,UNITED STATES
KGSO,PIEDMONT TRIAD INTL,GREENSBORO,UNITED STATES
KGSP,GREENVILLE-SPARTANBURG,GREER,UNITED STATES
KGTF,GREAT FALLS INTL,GREAT FALLS,UNITED STATES
KGTR,GOLDEN TRIANGLE REGL,COLUMBUS-W POINT-STARKVILLE,UNITED STATES
KGUC,GUNNISON CO,GUNNISON,UNITED STATES
KGUP,GALLUP MUN,GALLUP,UNITED STATES
KGYY,GARY REGL,GARY,UNITED STATES
KHDN,YAMPA VALLEY,HAYDEN,UNITED STATES
KHFD,HARTFORD-BRAINARD,HARTFORD,UNITED STATES
KHGR,WASHINGTON CO REGL,HAGERSTOWN,UNITED STATES
KHIB,CHISHOLM-HIBBING,HIBBING,UNITED STATES
KHII,LAKE HAVASU CITY,LAKE HAVASU CITY,UNITED STATES
KHKY,HICKORY REGL,HICKORY,UNITED STATES
KHLN,HELENA REGL,HELENA,UNITED STATES
KHOB,LEA CO,HOBBS,UNITED STATES
KHON,HURON REGL,HURON,UNITED STATES
KHOT,HOT SPRINGS MEML,HOT SPRINGS,UNITED STATES
KHOU,HOBBY,HOUSTON,UNITED STATES
KHPN,WESTCHESTER CO,WHITE PLAINS,UNITED STATES
KHRL,RIO GRANDE VALLEY INTL,HARLINGEN,UNITED STATES
KHRO,BOONE CO,HARRISON,UNITED STATES
KHSV,HUNTSVILLE INTL-JONES,HUNTSVILLE,UNITED STATES
KHTS,TRI-STATE/FERGUSON,HUNTINGTON,UNITED STATES
KHUF,HULMAN REGL,TERRE HAUTE,UNITED STATES
KHVN,TWEED-NEW HAVEN,NEW HAVEN,UNITED STATES
KHYA,BARNSTABLE MUN-BOARDMAN/POLAN*,HYANNIS,UNITED STATES
KHYS,HAYS MUN,HAYS,UNITED STATES
KIAD,Dulles International,Washington,UNITED STATES
KIAH,George Bush International,Houston,UNITED STATES
KICT,WICHITA MID-CONTINENT,WICHITA,UNITED STATES
KIDA,FANNING,IDAHO FALLS,UNITED STATES
KIFP,LAUGHLIN/BULLHEAD INTL,BULLHEAD CITY,UNITED STATES
KIGM,KINGMAN,KINGMAN,UNITED STATES
KILE,KILLEEN MUN,KILLEEN,UNITED STATES
KILM,NEW HANOVER INTL,WILMINGTON,UNITED STATES
KIMT,FORD,IRON MT-KINGSFORD,UNITED STATES
KIND,INDIANAPOLIS INTL,INDIANAPOLIS,UNITED STATES
KINL,FALLS INTL,INTERNATIONAL FALLS,UNITED STATES
KINT,SMITH REYNOLDS,WINSTON-SALEM,UNITED STATES
KIPL,IMPERIAL CO,IMPERIAL,UNITED STATES
KIPT,WILLIAMSPORT-LYCOMING CO,WILLIAMSPORT,UNITED STATES
KIRK,KIRKSVILLE REGL,KIRKSVILLE,UNITED STATES
KISN,SLOULIN INTL,WILLISTON,UNITED STATES
KISO,KINSTON REGL JETPORT AT STALL*,KINSTON,UNITED STATES
KISP,LONG ISLAND MAC ARTHUR,ISLIP,UNITED STATES
KITH,TOMPKINS CO,ITHACA,UNITED STATES
KIU,KIUNGA,KIUNGA,PAPUA NEW GUINEA
KIWD,GOGEBIC CO,IRONWOOD,UNITED STATES
KIYK,INYOKERN,INYOKERN,UNITED STATES
KJAC,JACKSON HOLE,JACKSON,UNITED STATES
KJAN,JACKSON INTL,JACKSON,UNITED STATES
KJAX,JACKSONVILLE INTL,JACKSONVILLE,UNITED STATES
KJBR,JONESBORO MUN,JONESBORO,UNITED STATES
KJFK,John F Kennedy,New York,UNITED STATES
KJHW,CHAUTAUQUA CO/JAMESTOWN,JAMESTOWN,UNITED STATES
KJLN,JOPLIN REGL,JOPLIN,UNITED STATES
KJMS,JAMESTOWN MUN,JAMESTOWN,UNITED STATES
KJST,JOHNSTOWN-CAMBRIA CO,JOHNSTOWN,UNITED STATES
KKA,KOYUK,KOYUK,UNITED STATES
KLAA,LAMAR MUN,LAMAR,UNITED STATES
KLAF,PURDUE UNIV,LAFAYETTE,UNITED STATES
KLAN,CAPITAL CITY,LANSING,UNITED STATES
KLAR,LARAMIE REGL,LARAMIE,UNITED STATES
KLAS,MC CARRAN INTL,LAS VEGAS,UNITED STATES
KLAW,LAWTON MUN,LAWTON,UNITED STATES
KLAX,International,Los Angeles,UNITED STATES
KLBB,LUBBOCK INTL,LUBBOCK,UNITED STATES
KLBE,WESTMORELAND CO,LATROBE,UNITED STATES
KLBF,NORTH PLATTE REGL,NORTH PLATTE,UNITED STATES
KLBL,LIBERAL MUN,LIBERAL,UNITED STATES
